Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 7,200,000","3bdrm Bungalow in Milimani, Kitengela for sale","Charming 3-Bedroom House with DSQ in Kitengela
Nestled in the serene and sought-after neighborhood...","Kajiado, Kitengela",1 bedroom,1 bathroom,Unfurnished,3200sqm
"KSh 15,000,000",1bdrm Block of Flats in Utawala for sale,"*block of flat in utawala at a distress sale*
Sitting on a 100*100 plot.
With big space for...","Nairobi, Utawala",3 bedrooms,4 bathrooms,Unfurnished,160sqm
"KSh 18,000,000","Mini Flat in Machine, Barnabas for sale","Developed plot for sale,on a quarter piece of land.
With 10 houses 2 with 2bedrooms the rest are one...","Nakuru, Nakuru Town East",4 bedrooms,5 bathrooms,Semi-Furnished,5000sqm
"KSh 6,500,000","4bdrm Bungalow in Nalepo Homes, Rimpa for sale","This is quality four bedroom bungalow,in a gated community of 10 Home's
The house's have free hold...","Kajiado, Ongata Rongai",1 bedroom,1 bathroom,Unfurnished,1000sqm
"KSh 50,000,000","Furnished 7bdrm Mansion in Mugutha, Ruiru for sale","7 bedroom full furnished with DSQ for sale,Location ruiru murera mugutha police station 
-plot size...","Kiambu, Ruiru",4 bedrooms,5 bathrooms,Unfurnished,286sqm
"KSh 5,000,000","1bdrm Apartment in Newly Built In, Westlands for sale","New 1,2 & 3 bedroom plus dsq apartments
*location*  riverside kileleshwa 3 minutes from...","Nairobi, Westlands",3 bedrooms,2 bathrooms,Unfurnished,850sqm
"KSh 100,000,000",2bdrm Block of Flats in Zimmerman for sale,This apartment block is 200 meters from Coop Bank Zimmerman. It has 76 units in total; 59 - 1br...,"Nairobi, Zimmerman",3 bedrooms,3 bathrooms,Unfurnished,370sqm
"KSh 13,000,000",Furnished 3bdrm Bungalow in Jb Area for sale,"Hello, with ne is a newly built and fully furnished house as seen in the photos.
Get in touch for...","Nakuru, Nakuru Town East",4 bedrooms,3 bathrooms,Unfurnished,177sqm
"KSh 4,900,000","3bdrm Maisonette in Spring View Valley, Thika for sale","* 3 Br Bungalow in a gated community
* Located along Thika-Garissa Highway, 400mtrs from the...","Kiambu, Thika",4 bedrooms,4 bathrooms,Furnished,nan
"KSh 6,500,000",3bdrm Bungalow in Matasia for sale,"Your Dream Bungalow in Matasia, Ngong!
 3 Bed, Master Ensuite  Spacious Living & Dining  Modern...","Kajiado, Ngong",5 bedrooms,5 bathrooms,Unfurnished,240sqm
"KSh 8,500,000",3bdrm Bungalow in Nkoroi for sale,Executive newly built three bedroom bungalow in Ongata rongai along barabara mpya or Asyana...,"Kajiado, Ongata Rongai",3 bedrooms,2 bathrooms,Unfurnished,250sqm
"KSh 20,000,000",5bdrm Maisonette in Ruiru for sale,"5 BR all ensuite plus DSQ maisonettes for sale at Ruiru Ksh 20M.
Ensuite plus DSQ.
Only 6 houses in...","Kiambu, Ruiru",6 bedrooms,5 bathrooms,Unfurnished,405sqm
"KSh 17,000,000",4bdrm Maisonette in Ruiru Murera for sale,"4BR+Study for sale at Ruiru Murera for Ksh 17M.
Own compound, on an eighth acre plot.
Very spacious...","Kiambu, Ruiru",4 bedrooms,5 bathrooms,Unfurnished,350sqm
"KSh 7,200,000",3bdrm Bungalow in Nkoroi for sale,3 bedroom master ensuite bungalow in Ongata Rongai Nairobi. It sits on an 1/8 of an acre and has a...,"Kajiado, Ongata Rongai",1 bedroom,1 bathroom,Furnished,10sqm
"KSh 5,800,000","3bdrm Bungalow in Ngong Merisho Gated, Matasia for sale","A 3-bedroom master ensuite bungalow in a Gated Community, in Merisho, Matasia Ngong on sale. It is...","Kajiado, Ngong",4 bedrooms,3 bathrooms,Unfurnished,204sqm
"KSh 11,500,000",3bdrm Bungalow in Ruiru for sale,"3 Bedroom all ensuite selling at Ruiru Mugutha for Ksh 11.5M.
Near Daykio Bustani.
Plot size:...","Kiambu, Ruiru",4 bedrooms,3 bathrooms,Unfurnished,nan
"KSh 5,000,000",Studio Apartment in Kilimani for sale,Spacious studio apartments in kilimani,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,1014sqm
"KSh 100,000,000",1bdrm Block of Flats in Zimmerman for Sale,This apartment block has 82 units; 1 bedsitter for caretaker and 81 - 1 bedroom apartments with 100%...,"Nairobi, Zimmerman",5 bedrooms,3 bathrooms,Semi-Furnished,900sqm
"KSh 32,000,000","4bdrm Villa in Tilisi Views, Tigoni for sale",A meticulously designed 4 bedroom villa that offers modern living at an affordable price for the...,"Kiambu, Limuru",3 bedrooms,3 bathrooms,Unfurnished,420sqm
"KSh 8,000,000",3bdrm Bungalow in Nkoroi. for sale,An executive newly built 3 bedroom house Plus SQ in Ongata Rongai Nkoroi. two of the three bedrooms...,"Kajiado, Ongata Rongai",3 bedrooms,2 bathrooms,Unfurnished,2000sqm
"KSh 12,000,000","3bdrm Apartment in N/A, Nyali Mkomani for Sale","Three bedrooms apartment for sale,near to a supermarket,petrol station, access to tarmac road,near...","Mombasa, Nyali",5 bedrooms,3 bathrooms,Unfurnished,240sqm
"KSh 20,000,000","3bdrm Apartment in Halal Apartment, Nyali Mkomani for sale",Hala height an exquisite real estate project that combines luxury living with unparalleled...,"Mombasa, Nyali",3 bedrooms,3 bathrooms,Furnished,250sqm
"KSh 5,800,000",3bdrm Bungalow in Matasia for sale,"MATASIA 3 BEDROOMS BUNGALOW @ 5.8M
This new development comprises of modern and spacious 3 Bedrooms...","Kajiado, Ngong",3 bedrooms,3 bathrooms,Unfurnished,270sqm
"KSh 6,500,000",2bdrm Bungalow in Shanzu Go Kart for sale,"2 bedroom detached bungalow for sale located shanzu Go khart
Parking area
Swimming pool 
300 meters...","Mombasa, Shanzu",4 bedrooms,4 bathrooms,Unfurnished,185sqm
"KSh 2,800,000","3bdrm House in Langa Langa, Gilgil for Sale","A well built house on sale, At Gilgil, Langa langa... 
Owner relocating soon.
Seated on 50 by 100...","Nakuru, Gilgil",3 bedrooms,3 bathrooms,Unfurnished,120sqm
"KSh 5,800,000",3bdrm Bungalow in Kikuyu Kamangu for sale,This 3 bedroom bungalow house is located 9km from Kikuyu town  from Kamangu shopping centre. It's...,"Kiambu, Kikuyu",4 bedrooms,4 bathrooms,Unfurnished,380sqm
"KSh 28,500,000",4bdrm Maisonette in Ruiru for sale,"4 BR all ensuite with a DSQ plus a Study room selling at Ruiru ksh 28.5M.
On a 52*110 plot freehold...","Kiambu, Ruiru",2 bedrooms,2 bathrooms,Unfurnished,3000sqm
"KSh 3,100,000",Studio Apartment in Athi River for sale,"Apartments for Sale at Athi River, Sabaki area.
Located near Nairobi Mombasa Highway in a very good...","Machakos, Athi River",3 bedrooms,3 bathrooms,Unfurnished,123sqm
"KSh 4,200,000",Furnished 3bdrm House in Ongata Rongai for sale,3bedrooms master ensuite /with a perimeter wall/ wifi/electricity/ water/road all weather. Ongata...,"Kajiado, Ongata Rongai",3 bedrooms,4 bathrooms,Unfurnished,150sqm
"KSh 17,500,000",4bdrm Maisonette in Rimpa for sale,"4 bedrooms maisonettes rimpa @ 17.5m
these are exclusive (5 units) 4 bedrooms all en-suite...","Kajiado, Ongata Rongai",5 bedrooms,5 bathrooms,Unfurnished,114sqm
"KSh 11,500,000","4bdrm Maisonette in Ongata Rongai, Nkoroi for sale",A modern 4-Bedroom Maisonette + DSQ in Ongata Rongai Nkoroi is on sale. It has the following...,"Kajiado, Ongata Rongai",5 bedrooms,5 bathrooms,Unfurnished,360sqm
"KSh 5,800,000","3bdrm Bungalow in Imperial, Pipeline for sale","New built house for sale 3 bedroom master ensuit
 setting on 50/100 location pepiline","Nairobi, Embakasi",2 bedrooms,1 bathroom,Semi-Furnished,64sqm
"KSh 2,800,000","2bdrm Bungalow in Olerai, Ngong for sale","Located in kiserian 
Quick sale On distress 
Close to all amenities 
Water WiFi and electricity...","Kajiado, Ngong",3 bedrooms,2 bathrooms,Unfurnished,400sqm
"KSh 6,500,000",4bdrm Maisonette in Ongata Rongai for sale,Located at Kahuho area.about 200 m from main road (Magadi Road) a gated community of ten...,"Kajiado, Ongata Rongai",5 bedrooms,4 bathrooms,Unfurnished,1000sqm
"KSh 200,000",Furnished 2bdrm Apartment in Kileleshwa for sale,2 bedroom Furnished apartment in Kileleshwa renting out at Kshs /= a month. The house is well...,"Nairobi, Kileleshwa",3 bedrooms,2 bathrooms,Unfurnished,131sqm
"KSh 100,000,000",1bdrm Apartment in Kamakis for sale,Newly built property for sale along eastern bypass consist of 1bedrooms and bedsiters current when...,"Kiambu, Ruiru",6 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 12,800,000","1bdrm Block of Flats in Best Deal Flat For, Ruiru for sale",This block of flats is on quick sale with good income 100k with 21 bedsiter units near JKUAT...,"Kiambu, Ruiru",4 bedrooms,5 bathrooms,Unfurnished,370sqm
"KSh 5,750,000","3bdrm Bungalow in Gated Estate, Joska for sale",These are new houses located in Joska Mutalia area 800metres off the tarmac. They are 3 bedrooms...,"Nairobi, Kamulu",3 bedrooms,2 bathrooms,Unfurnished,250sqm
"KSh 34,000,000",5bdrm Maisonette in Milimani for sale,"Five bedroomed maisonette for sale in Milimani, Kisumu. The house had two one bedroomed extensions,...","Kisumu, Kisumu Central",3 bedrooms,1 bathroom,Semi-Furnished,60sqm
"KSh 14,400,000",3bdrm Apartment in Kizingo for Sale,"Newly built 3 bedroom luxurious apartments,all ensuite. this apartments are strategically located in...","Mombasa, Kizingo / Mombasa",7 bedrooms,8 bathrooms,Unfurnished,900sqm
"KSh 300,000",5bdrm Maisonette in Karen for sale,"Magnificent 4 bedroom available to let in Karen.furnishe and unfurnished 
4 bedroom 
3 en-suite 
2...","Nairobi, Karen",3 bedrooms,4 bathrooms,Unfurnished,130sqm
"KSh 8,000,000","3bdrm House in Kanduma, Kikuyu for Sale","This is a 3 bedrooms house for sale in kanduma or kerwa area.
Master bedroom ensuit while the two...","Kiambu, Kikuyu",4 bedrooms,3 bathrooms,Unfurnished,200sqm
"KSh 32,000,000",3bdrm Apartment in Kileleshwa for sale,"Luxurious 3BR +DSQ apartments for sale at Kileleshwa from 
Amenities:
*Bar/Lounge area
*Swimming...","Nairobi, Kileleshwa",2 bedrooms,1 bathroom,Unfurnished,100sqm
"KSh 3,500,000","1bdrm House in Maili Sita, Nakuru Town East for sale","A rental house comprising of 10 units of double rooms with a monthly income of 30,000 in Maili sita...","Nakuru, Nakuru Town East",3 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 5,200,000","3bdrm Bungalow in Mercy Njeri, Nakuru Town West for sale",3 bedroom house gated community call or WhatsApp for more details,"Nakuru, Nakuru Town West",5 bedrooms,4 bathrooms,Unfurnished,5000sqm
"KSh 3,800,000","3bdrm Bungalow in Zabka, Kimorori/Wempa for sale",A 3 bedroomed house is on sale at Kenol Kabati area.It is sitting on 40 by 80 plot.It is 500 Metres...,"Murang'a, Kimorori/Wempa",2 bedrooms,1 bathroom,Unfurnished,102sqm
"KSh 13,000,000",4bdrm Maisonette in Nkoroi for sale,"This is a prime 4 bedroom executive maisonette for sale in nkoroi.
Going for 13M eith clean title...","Kajiado, Ongata Rongai",4 bedrooms,4 bathrooms,Unfurnished,210sqm
"KSh 7,200,000",4bdrm Bungalow in Kitengela for sale,3-Bedroom House with Dsq for Sale in Kitengela Nestled in serene and sought-after neighborhood in...,"Kajiado, Kitengela",4 bedrooms,5 bathrooms,Unfurnished,270sqm
"KSh 45,000,000",5bdrm Maisonette in Nkoroi for sale,"5 Bedroom standalone for sale in Nkoroi Ongata Rongai 

2 living rooms
2 car lockable garage
3 car...","Kajiado, Ongata Rongai",3 bedrooms,2 bathrooms,Unfurnished,86sqm
"KSh 17,000,000","4bdrm Maisonette in Rimpa, Ongata Rongai for sale","Rimpa, Ongata Rongai
3 Bedroom Maisonette Master -ensuite with self contained DSQ at KSHS 15M
4...","Kajiado, Ongata Rongai",2 bedrooms,2 bathrooms,Unfurnished,84sqm
"KSh 9,500,000",3bdrm Bungalow in Ruiru for sale,An ultramodern 3 Bedroom Flatroof Bungalow with SQ and rooftop terrace is available in this...,"Kiambu, Ruiru",4 bedrooms,3 bathrooms,Unfurnished,250sqm
"KSh 6,500,000",3bdrm Bungalow in O/Rongai Rimpa for sale,"An executive newly built 3 bedroom master ensuite bungalow in Ongata Rongai; 
Sitting on an 1/8 of...","Kajiado, Ongata Rongai",4 bedrooms,4 bathrooms,Unfurnished,345sqm
"KSh 11,500,000",3bdrm House in Gikambura Kikuyu for sale,"Modern architecture 3bedrooms for sale.
AllEnsuite bungalow with a flat roof terrace.
Location...","Kiambu, Kikuyu",2 bedrooms,2 bathrooms,Unfurnished,89sqm
"KSh 4,000,000","2bdrm Block of Flats in Mferejini, Majengo for Sale",Newly built apartment at reasonable price. Almost complete. one unit remaining.,"Mombasa, Mvita",5 bedrooms,2 bathrooms,Semi-Furnished,100sqm
"KSh 25,000,000",4bdrm Apartment in Valley Arcade for sale,"Located along Ndemi Road in a very secure compound, newly constructed
Features
4 bedrooms all...","Nairobi, Lavington",5 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 90,000,000",5bdrm Villa in Lavington for sale,"5 Bedroom Plus Dsq Townhouses for sale in Lavington off Convent Drive 
8 Units in the compound...","Nairobi, Lavington",5 bedrooms,4 bathrooms,Unfurnished,400sqm
"KSh 7,800,000",3bdrm Apartment in Mombasa Road for sale,"Studios, 1,2 and 3-bedroom apartments for sale in mombasa road, 3-bedroom goes for kes. 7.8...","Nairobi, Mombasa Road",2 bedrooms,2 bathrooms,Unfurnished,118sqm
"KSh 18,000,000","4bdrm Townhouse/Terrace in Gikambura, Kikuyu for sale","4 Bedroom Own Compound for Sale at Gikambura Kikuyu, With a Detached DSQ and store.
Huge compound,...","Kiambu, Kikuyu",3 bedrooms,3 bathrooms,Unfurnished,230sqm
"KSh 3,500,000",2bdrm Bungalow in Kiserian for sale,Discover your perfect home in the tranquil surroundings of Kiserian-Olooltepes. This spacious...,"Kajiado, Kiserian",3 bedrooms,3 bathrooms,Unfurnished,300sqm
"KSh 48,000,000","4bdrm Maisonette in Kahawa Sukari, Kiambu / Kiambu  for sale","4 bedroom house on sale all ensuite in kahawa Sukari near police station very secure area,with...","Kiambu, Kiambu / Kiambu",3 bedrooms,2 bathrooms,Semi-Furnished,60sqm
"KSh 3,800,000","1bdrm House in Langa Langa, Nakuru Town East for sale",A rental house comprising of double rooms and single rooms in pangani with a monthly income of is...,"Nakuru, Nakuru Town East",1 bedroom,1 bathroom,Semi-Furnished,100sqm
"KSh 2,300,000","2bdrm Bungalow in Riverside Estate, Kenyatta Road / Theta for sale","Unfinished 2 bedroom master bedroom ensuite bungalow for sale, Location Kenyatta road riverside...","Kiambu, Juja",2 bedrooms,2 bathrooms,Unfurnished,80sqm
"KSh 8,500,000","3bdrm Bungalow in Fahari Estate, Bamburi for sale","3 bedroom bungalow on sale
Located bamburi naivas
Free hold tittle deed
Parkings
Spacious...","Mombasa, Bamburi",4 bedrooms,5 bathrooms,Semi-Furnished,800sqm
"KSh 40,000,000",4bdrm Bungalow in Elgon View for sale,Four bedroomed house on half acre in a gated community.,"Uasin Gishu, Eldoret CBD",3 bedrooms,2 bathrooms,Unfurnished,260sqm
"KSh 14,000,000","5bdrm Apartment in Emmanuel Estate, Rimpa for sale","5br mansion
Sits on 0.044 land
Location: Rimpa, magadi rd
With 4 bathrooms
For immediate sale","Kajiado, Ongata Rongai",3 bedrooms,3 bathrooms,Unfurnished,250sqm
"KSh 40,000,000",2bdrm Block of Flats in Ndenderu for sale,"Ndenderu 16 (2 bedrooms) flat @ 40m.
this block of flats is in ndenderu touching the northern...","Kiambu, Ndenderu",4 bedrooms,4 bathrooms,Unfurnished,1100sqm
"KSh 150,000,000",6bdrm House in Kitisuru for sale,"Kitsuru Spacious 6 Bedroom House for Sale. 
Selling this magnificent 6 Bedroom Mansion located at...","Nairobi, Kitisuru",4 bedrooms,4 bathrooms,Unfurnished,155sqm
"KSh 135,000,000","Furnished 4bdrm Bungalow in Maraigushu Estate, HellsGate for sale","Charming fully furnished 4 bedroom all ensuite ranch house, on 25 acres, with three cottages, 10...","Nakuru, Naivasha",3 bedrooms,3 bathrooms,Unfurnished,200sqm
"KSh 18,000,000","4bdrm Maisonette in Blue Estate, Kiembeni for sale","Bamburi, Kiembeni - Blue Estate
*4 BEDROOM LUXURY MAISONETTE*
- 4 bedrooms with 2 ensuite. 
- 2...","Mombasa, Bamburi",3 bedrooms,2 bathrooms,Semi-Furnished,125sqm
"KSh 5,900,000","3bdrm Bungalow in Ongata Rongai, Nkoroi for sale","Three bedroom bungalow for sale in Ongata Rongai on a 1/8 acre of land, in a gated community of...","Kajiado, Ongata Rongai",4 bedrooms,2 bathrooms,Unfurnished,800sqm
"KSh 11,500,000","4bdrm Maisonette in Memusi, Matasia for sale","4 BR GATED HOUSE ON QUICK SALE
 NGONG
4 BEDROOMS MANSIONETTE FOR SALE
In a gated community 
Each...","Kajiado, Ngong",2 bedrooms,2 bathrooms,Unfurnished,75sqm
"KSh 17,000,000",4bdrm Maisonette in Athi River for sale,"4 BR house plus DSQ plus Study Room for Sale in Athi River Ksh 17M.
In a gated community of 39...","Machakos, Athi River",8 bedrooms,5 bathrooms,Unfurnished,800sqm
"KSh 35,000,000","Furnished 6bdrm Villa in Olkeri, Ngong for sale","Fully furnished 6BR plus DSQ all ensuite for sale in Ngong for Ksh 35M.
Very spacious rooms and...","Kajiado, Ngong",4 bedrooms,4 bathrooms,Unfurnished,500sqm
"KSh 22,000,000","5bdrm Maisonette in Mawe Mbili/Capital, Ruai for sale",With twin enclosed garage,"Nairobi, Ruai",4 bedrooms,4 bathrooms,Unfurnished,450sqm
"KSh 83,000,000",5bdrm Maisonette in Karen for sale,"The house is 6 bedrooms all ensuite... 
On approximately one acre land ... 
In prime area of Karen,...","Nairobi, Karen",4 bedrooms,4 bathrooms,Unfurnished,1308sqm
"KSh 7,000,000","3bdrm Bungalow in Westlands, Sobea for Sale","Newly built 3bedroom house with modern finishing. property sits on a 50*100 plot with ready titles,...","Nakuru, Nakuru Town East",6 bedrooms,5 bathrooms,Furnished,1210sqm
"KSh 44,000,000","5bdrm Townhouse/Terrace in Serane Lane1, Shanzu for sale","A 5 bedroom townhouse in Shazu serena lane 1 estate near Pride inn,Mombasa on half acre plot,being...","Mombasa, Shanzu",3 bedrooms,2 bathrooms,Unfurnished,128sqm
"KSh 8,500,000","3bdrm Block of Flats in Lakers Apartment, Nyali Mkomani for Sale",The home of tranquility under construction located in a ideally surbub of nyali mombasa...,"Mombasa, Nyali",3 bedrooms,3 bathrooms,Semi-Furnished,100sqm
"KSh 5,500,000",2bdrm Apartment in Kilimani for sale,"Affordable small 2bedroom apartment. Located in Kilimani. 5mins to Yaya Centre.
Comes with open...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Semi-Furnished,3200sqm
"KSh 15,200,000","3bdrm Apartment in Urban Oasis, Maziwa for sale",You will instantly love being part of this luxurious and urban development. It is tucked in the...,"Nairobi, Lavington",3 bedrooms,2 bathrooms,Unfurnished,90sqm
"KSh 13,000,000",Furnished 3bdrm Apartment in Kiambu Mitini for sale,"Ample parking
Paved drive way
Open kitchen
Modern interior furnishes","Kiambu, Kiambu / Kiambu",4 bedrooms,5 bathrooms,Unfurnished,300sqm
"KSh 3,550,000","3bdrm Bungalow in Baraka, Kisaju for sale",3 bedroom bungalow near Hawa before Kisaju 900m from Namanga Rd in gated community with borehole...,"Kajiado, Kisaju",4 bedrooms,5 bathrooms,Unfurnished,2400sqm
"KSh 60,000,000","4bdrm Villa in Shelter Link, Karen C for sale",Karen - Off Langata road - 4 br all ensuite newly built double storey house in a gated compound of...,"Nairobi, Karen",3 bedrooms,3 bathrooms,Unfurnished,500sqm
"KSh 2,200,000",Mini Flat in Dandora Heights Best for sale,"DANDORA BEST DEAL
QUICK SALE
Original house
9Rooms you can add more floors to 5th floor 
Fit for...","Nairobi, Dandora",3 bedrooms,2 bathrooms,Furnished,864sqm
"KSh 19,900,000","3bdrm House in Lanet, Umoja II for sale","The property sit on 100 by 100 with a commercial apartment with an income of 20,000 per month, a...","Nakuru, Lanet",3 bedrooms,2 bathrooms,Unfurnished,260sqm
"KSh 75,000,000",5bdrm Maisonette in Karen for sale,"KAREN
5 BEDROOM WITH DSQ FOR SALE 
own gate in a gated community 
located near the hub 
all...","Nairobi, Karen",3 bedrooms,2 bathrooms,Unfurnished,200sqm
"KSh 25,000,000",4bdrm Bungalow in Kinoo for Sale,"This is a 4 bedrooms house sitting on a 100x100 quarter.
The house Has all the rooms master...","Kiambu, Kikuyu",4 bedrooms,5 bathrooms,Unfurnished,5000sqm
"KSh 7,850,000",3bdrm Bungalow in Joska for sale,"3BR plus DSQ for sale at Joska ksh 8.75M.
Without DSQ ksh 7.85M.
Features:
*Gated community, each...","Nairobi, Kamulu",3 bedrooms,2 bathrooms,Unfurnished,250sqm
"KSh 12,000,000",3bdrm Apartment in Nyali Near Cinemax for Sale,Rashida properties is pleased to bring you this brilliant town apartment located in the prestigious...,"Mombasa, Nyali",3 bedrooms,4 bathrooms,Unfurnished,210sqm
"KSh 35,000,000","4bdrm Maisonette in Mombasa, Nyali for sale",Hello... selling a 4 bedroom plus sq 3rd row from Nyali Beach in a gated community estate.plot size...,"Mombasa, Nyali",3 bedrooms,2 bathrooms,Furnished,140sqm
"KSh 9,500,000","2bdrm Apartment in Lavington, Kileleshwa for sale","2&3 bedrooms apartments with Dsq to let and for sale
Amenities 
All ensuite 
Spacious rooms 
Well...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,50sqm
"KSh 26,000,000",4bdrm Apartment in Kizingo for sale,4 bedroom all ensuite luxurious very spacious apartments within the Mombasa island in Kizingo.Just a...,"Mombasa, Kizingo / Mombasa",3 bedrooms,3 bathrooms,Unfurnished,200sqm
"KSh 35,000,000",5bdrm Maisonette in Nyali for sale,"Nyali five bedroom maisonette for sale,all bedrooms are en suite with balconies. Very spacious...","Mombasa, Nyali",4 bedrooms,3 bathrooms,Unfurnished,2000sqm
"KSh 16,000,000",5bdrm Maisonette in Kamakis for Sale,"1. 5Br Maisonette all ensuite 
2. Distance from police stn - 200M from Kwihota police Post.
3. In a...","Kiambu, Ruiru",10 bedrooms,5 bathrooms,Unfurnished,500sqm
"KSh 8,500,000",3bdrm Mansion in Mtwapa for sale,"Newly built 3 bedrooms mansion for sale, swimming pool","Kilifi, Mtwapa",2 bedrooms,2 bathrooms,Unfurnished,110sqm
"KSh 700,000","10bdrm House in Vijiweni, Shelly Beach for sale",Unfinished Swahili House,"Mombasa, Likoni",2 bedrooms,2 bathrooms,Unfurnished,85sqm
"KSh 10,250,000","3bdrm House in Paradise Park Estate, Kinanie for Sale","Paradise park estate - the riviera phase
fully detached magnificently designed 3 bedroom bungalows...","Machakos, Mavoko",4 bedrooms,3 bathrooms,Unfurnished,145sqm
"KSh 9,500,000","3bdrm Apartment in Kings Millennium, City Cabanas for sale",Three bedroom all ensuite,"Nairobi, Imara Daima",1 bedroom,1 bathroom,Unfurnished,50sqm
"KSh 26,000,000","5bdrm Maisonette in Mirema, Thome for Sale","HOUSE FOR SALE
5 Bedroom maisonette for sale at Mirema Drive Roysambu.
The house is located in a...","Nairobi, Thome / Nairobi",1 bedroom,2 bathrooms,Unfurnished,65sqm
"KSh 40,000,000",4bdrm Maisonette in Ngoingwa Estate for Sale,A four-bedroom mansionate all ensuite and a study room sitting on 0.2125 acre with an attic floor...,"Kiambu, Thika",2 bedrooms,3 bathrooms,Unfurnished,125sqm
"KSh 7,700,000",4bdrm Bungalow in Ngong Town for sale,"The house is newly built 4 bedrooms bungalow 3 ensuite... 
On own compound... 
In a court of 5...","Kajiado, Ngong",2 bedrooms,1 bathroom,Semi-Furnished,650sqm
"KSh 9,000,000","3bdrm Townhouse/Terrace in Bella Hill, Kikuyu for Sale","This townhouses is strategically located 200 meters from thogoto mutarakwa tarmac road.
Rare...","Kiambu, Kikuyu",10 bedrooms,6 bathrooms,Unfurnished,500sqm
"KSh 4,000,000",Studio Apartment in Southb for sale,"Studio apartments for sale at South B Ksh 4M.
FEATURES 
*Appx. 25 sq.m of floor space in a modern,...","Nairobi, South B",4 bedrooms,2 bathrooms,Semi-Furnished,650sqm
"KSh 8,000,000",3bdrm Bungalow in Katani for sale,3br all ensuite luxury homes located about 7km off Mombasa road at katani centre in a gated estate...,"Machakos, Syokimau",3 bedrooms,2 bathrooms,Unfurnished,nan
"KSh 1,000,000",2bdrm House in Mombasa Road for sale,2bedroom fabricated container houses and 2bedroom sitting kitchen toilet gypsum ceiling located at...,"Nairobi, Mombasa Road",3 bedrooms,3 bathrooms,Unfurnished,140sqm
"KSh 7,800,000",2bdrm Apartment in Coral Sands Nyali for sale,"Welcome to bliss sands residence 
for sale || bliss sands residence || studio,1&2 b/r ||2nd row to...","Mombasa, Nyali",4 bedrooms,3 bathrooms,Unfurnished,230sqm
"KSh 15,000,000",3bdrm Maisonette in Ongata Rongai for sale,An executive newly built 3 bedroom all ensuite maisonette in Ongata Rongai Nairobi Rimpa near...,"Kajiado, Ongata Rongai",3 bedrooms,1 bathroom,Unfurnished,250sqm
"KSh 8,500,000",3bdrm Bungalow in Kibiku for sale,"HOUSE FOR SALE!
Brand new 4 bedrooms bungalow with Dsq,located in Ngong Kibiko.
Spacious house with...","Kajiado, Ngong",5 bedrooms,6 bathrooms,Unfurnished,3000sqm
"KSh 2,500,000","1bdrm House in Jb, Nakuru Town East for sale",A rental house comprising of eight units of single rooms built on One side giving room for More...,"Nakuru, Nakuru Town East",4 bedrooms,5 bathrooms,Unfurnished,300sqm
"KSh 7,500,000",3bdrm Bungalow in Rimpa Pioneer Close for sale,"Sparkling new 3 bedroom Bungalows on sale 
Location: Rongai, Rimpa areas 
 Salient Features...","Kajiado, Ongata Rongai",3 bedrooms,2 bathrooms,Unfurnished,150sqm
"KSh 7,500,000","Mini Flat in Maili Sita, Nakuru Town East for sale","A rental house comprising of 20 units of bedsitters with a monthly income of 60,000 in Maili SITA...","Nakuru, Nakuru Town East",3 bedrooms,2 bathrooms,Unfurnished,150sqm
"KSh 26,000,000","4bdrm Maisonette in Mugutha, Kiambu / Kiambu  for sale",Executive house on sale ultra modern 4 bedroom all ensuit plus SQ in Ruiru Mugutha sitting on 50/100...,"Kiambu, Kiambu / Kiambu",2 bedrooms,1 bathroom,Unfurnished,49sqm
"KSh 2,850,000","2bdrm Bungalow in High Peak, HellsGate for sale",House located 5km from Naivasha town and 1km from the highway. social amenities are within. price...,"Nakuru, Naivasha",5 bedrooms,6 bathrooms,Unfurnished,258sqm
"KSh 45,000,000",5bdrm Maisonette in Kiambu / Kiambu  for sale,"Elegant 5 bedroom house at Kiambu road for sale. 
Features:
In a gated community 
Own compound
All...","Kiambu, Kiambu / Kiambu",3 bedrooms,3 bathrooms,Semi-Furnished,1668sqm
"KSh 5,500,000",3bdrm Bungalow in Kibiku for sale,"Ngong kibiko 
3 bedrooms bungalow for sale.
Its a stand alone bungalow,a spacious one sitting on...","Kajiado, Ngong",3 bedrooms,2 bathrooms,Unfurnished,2400sqm
"KSh 16,500,000",5bdrm House in Kitengela for sale,New house alert in the heart of kitengela. The mansion-house is a sophisticated and aesthetically...,"Kajiado, Kitengela",4 bedrooms,5 bathrooms,Unfurnished,350sqm
"KSh 38,000,000",Furnished 1bdrm Block of Flats in Githurai for sale,"Fairly used block of flats consisting of one bedrooms and bedsitters,income 346500/ month. Plot size...","Nairobi, Githurai",3 bedrooms,4 bathrooms,Unfurnished,300sqm
"KSh 2,300,000",1bdrm Apartment in Nairobi West for sale,"Studio apartments for sale at Nairobi West.
Very spacious and well built.
In a very prime...","Nairobi, Nairobi West",1 bedroom,1 bathroom,Unfurnished,5000sqm
